id,name_en,name_es,category_en,category_es,photos,condition,dimensions_cm,size_label,price,status,pickup,notes_en,notes_es
mesa,Glass dining table,Mesa de comedor de vidrio,Furniture,Muebles,"mesa/1.jpg,mesa/2.jpg",fair,120 x 80,,75,available,pickup,Glass top with light wood legs. Note: there is a chip on one edge of the glass (see 2nd photo). Chairs sold separately.,Tapa de vidrio con patas de madera clara. Nota: tiene un desportillado en un borde del vidrio (ver 2da foto). Sillas se venden aparte.
sillas,Dining chairs (set of 4),Sillas de comedor (juego de 4),Furniture,Muebles,"sillas/1.jpg,sillas/2.jpg,sillas/3.jpg",good,,,90,available,pickup,Light wood frame with light grey upholstered seats. Set of 4.,Estructura de madera clara con asiento tapizado gris claro. Juego de 4.
comoda,6-drawer dresser,Cómoda de 6 cajones,Furniture,Muebles,"comoda/1.jpg,comoda/2.jpg,comoda/3.jpg",good,140 x 48 x 75,,120,available,pickup,Wide light wood 6-drawer dresser. Drawers all slide smoothly.,Cómoda ancha de madera clara con 6 cajones. Todos los cajones deslizan bien.
librero,Bamboo ladder bookshelf (4-tier),Librero escalera de bambú (4 niveles),Furniture,Muebles,librero/1.jpg,good,125 x 53,,35,available,pickup,4-tier freestanding bamboo ladder shelf. Books and decor not included.,Librero escalera de bambú de 4 niveles. Libros y decoración no incluidos.
mesa-centro,Coffee table,Mesa de centro,Furniture,Muebles,"mesa-centro/1.jpg,mesa-centro/2.jpg",good,110 x 110 x 41,,75,available,pickup,Square solid wood frame with glass panel top.,Estructura cuadrada de madera maciza con tapa de vidrio.
mesa-cafe,IKEA TORSJÖ side table,Mesa lateral IKEA TORSJÖ,Furniture,Muebles,"mesa-cafe/1.jpg,mesa-cafe/2.jpg",good,45 x 55,,45,available,coordinate,"IKEA TORSJÖ side table, gold effect frame with round glass top. 45 cm across, 55 cm tall.","Mesa lateral IKEA TORSJÖ, estructura color dorado con tapa de vidrio redonda. 45 cm de diámetro, 55 cm de alto."
silla-mecedora,IKEA POÄNG rocking chair,Sillón mecedor IKEA POÄNG,Furniture,Muebles,"silla-mecedora/1.jpg,silla-mecedora/2.jpg",good,68 x 94 x 95,,75,available,pickup,"IKEA POÄNG rocking chair, dark-stained bentwood frame with mustard yellow cushion.","Sillón mecedor IKEA POÄNG, estructura de madera curvada oscura con cojín amarillo mostaza."
lampara-de-pie-madera,Wood tripod floor lamp,Lámpara de pie trípode de madera,Lighting,Iluminación,lampara-de-pie-madera/1.jpg,good,51 x 51 x 152,,35,available,coordinate,Wooden tripod legs with small shelf and linen drum shade. Smart light bulb included.,Patas trípode de madera con repisa pequeña y pantalla de lino. Incluye ampolleta inteligente.
lampara-pie-negra,Black pole floor lamp,Lámpara de pie negra,Lighting,Iluminación,lampara-pie-negra/1.jpg,good,20 x 13 x 164,,12,available,coordinate,"Ambimall pole lamp, black pole and round base with cream linen shade. Pull-chain switch. Smart light bulb included.","Lámpara de pie Ambimall, poste y base negros con pantalla de lino crudo. Interruptor de cadena. Incluye ampolleta inteligente."
lampara-mesa,Rope table lamp,Lámpara de mesa de cuerda,Lighting,Iluminación,"lampara-mesa/1.jpg,lampara-mesa/2.jpg",good,,medium,25,available,coordinate,Woven rope base with white linen shade.,Base de cuerda trenzada con pantalla de lino blanca.
